covariate,beta,se,pvalue,ci_low,ci_high,setting
intercept,-1.0574705782604272,0.3949137394572975,0.007412394500659874,-1.8315015075967302,-0.2834396489241241,total
facial_coverings,0.0472396624035485,0.7086540051049108,0.9468514953424119,-1.3417221876020766,1.4362015124091736,total
gathering_restr,-0.9038278146904722,0.8652292824086114,0.2962029064275924,-2.5996772082113506,0.792021578830406,total
school_restr,-0.6654282498213978,0.8237662981462881,0.41921283045241,-2.2800101941881223,0.9491536945453268,total
workplace_restr,-0.4728269394398183,0.7662561108897344,0.5371943387508511,-1.9746889167836978,1.0290350379040611,total
travel_restr,0.8357934707195989,0.8484645879529064,0.3245917379573613,-0.8271971216680976,2.498784063107295,total
stay_home,2.498001805406602e-16,3.1622934716752664,0.9999999999999999,-6.198095204483522,6.198095204483522,total
school_holiday,0.12795354538792136,0.15889550487347834,0.4206647532257375,-0.18348164416409618,0.4393887349399389,total
vacc_one_dose,-0.31030564920279835,0.16116684733824585,0.05418321291293788,-0.6261926699857603,0.00558137158016353,total
vacc_two_doses,-0.36793836645843475,0.1752966282852766,0.035821555747635334,-0.7115197578975769,-0.024356975019292626,total
age_0-10,-0.04267710070730443,0.22089788892223147,0.8468036555457649,-0.4756369629948781,0.3902827615802692,total
age_11-18,0.15815575731693401,0.17943135351630904,0.37808639436777336,-0.19352969557503172,0.5098412102088997,total
age_19-39,0.0746328750128414,0.12995902024912598,0.5657782947543839,-0.18008680467544552,0.3293525547011283,total
age_40-59,0.06787213466104386,0.11779789008522643,0.5644972723861206,-0.16301172990599994,0.29875599922808765,total
variant_Alpha,-0.20988981445942717,0.2382786055851416,0.37839423151077767,-0.6769158814063048,0.25713625248745037,total
variant_Eta,-0.043152056137103136,0.2818385581122951,0.8783122169014032,-0.5955556300372015,0.5092515177629952,total
variant_Delta,0.28515662406503706,0.25745758901333143,0.26804031191750066,-0.21946025040109252,0.7897734985311666,total
variant_Omicron,0.4296420004134632,0.35503259461615394,0.22622208996505222,-0.2662218850341986,1.1255058858611249,total
intercept,-4.049101118652222,2.2570183844516247,0.07281245196994338,-8.472857152177406,0.37465491487296276,household
facial_coverings,-2.047106530733615,2.753143862291882,0.4571473523798165,-7.443268500825704,3.3490554393584735,household
gathering_restr,-1.085731636535938,2.3636585953798557,0.6459873856212862,-5.718502483480455,3.5470392104085793,household
school_restr,-2.1452209060892984,2.593644263620087,0.40817650873904954,-7.228763662784669,2.9383218506060715,household
workplace_restr,-0.6771588061999887,2.6191405948303643,0.7959883566909602,-5.810674372067503,4.456356759667525,household
travel_restr,0.23777807481078753,2.4606803501532566,0.9230194140443855,-4.585155411489596,5.06071156111117,household
stay_home,1.1102230246251565e-16,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,household
school_holiday,0.7586829183111086,0.9535348438396192,0.4262337158595054,-1.110245375614545,2.6276112122367623,household
vacc_one_dose,-0.3902949502280735,1.2177901318722073,0.7485935545475073,-2.7771636086975997,1.9965737082414527,household
vacc_two_doses,-2.657671010310966,1.5674432850766946,0.08997203463093668,-5.729859849061287,0.41451782843935536,household
age_0-10,-2.9721318837082817,1.940504037173832,0.12561405962489536,-6.775519796568993,0.8312560291524291,household
age_11-18,-9.82426441251536,43.969500634762916,0.823198045670559,-96.00448565665067,76.35595683161995,household
age_19-39,-1.3568136538231532,1.0337949510141622,0.18936525684179195,-3.383051757810911,0.6694244501646045,household
age_40-59,0.026084356380410324,0.7503074580734687,0.9722672172763813,-1.4445182614435883,1.4966869742044089,household
variant_Alpha,0.9830841601904843,1.72815249614618,0.5694482734709483,-2.4040947322560284,4.3702630526369965,household
variant_Eta,1.7043121808799966,1.8351441241377942,0.3530406733290401,-1.8925703024300797,5.3011946641900725,household
variant_Delta,3.096127499974974,1.7227498235098913,0.07230373479218863,-0.2804621541044128,6.472717154054361,household
variant_Omicron,4.465208098904843,1.9909718786360933,0.024914368986194427,0.5629032167781003,8.367512981031586,household
intercept,-13.357160924514915,28.95980785852077,0.6446328882483223,-70.11838432721562,43.40406247818579,school
facial_coverings,-0.32393150041120905,2.3701855569832957,0.8912922303648115,-4.969495192098469,4.32163219127605,school
gathering_restr,2.791435271155817,2.609681818541856,0.28477875850776135,-2.323541093186221,7.906411635497855,school
school_restr,0.7132821451637817,2.7446693615683815,0.7949570496910383,-4.666269803510246,6.092834093837809,school
workplace_restr,0.262654181246615,3.0494692937838646,0.9313621917258912,-5.71430563456976,6.239613997062989,school
travel_restr,1.758166902611035,2.5256278846269478,0.4863470328238855,-3.1920637512577823,6.708397556479852,school
stay_home,4.85722573273506e-17,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,school
school_holiday,0.10381526499768973,1.0045136962204688,0.9176861620157883,-1.865031579594429,2.0726621095898086,school
vacc_one_dose,-0.7529090194024438,1.2244231317148764,0.53861470239508,-3.1527783575636015,1.6469603187587136,school
vacc_two_doses,-0.5141603289838935,0.9935441271178643,0.6048062956786553,-2.461506818134908,1.4331861601671205,school
age_0-10,9.004769679926708,28.921282182010692,0.7555311836751613,-47.68094339681424,65.69048275666766,school
age_11-18,9.451821161985531,28.91525649803094,0.7437585931568548,-47.22208157415511,66.12572389812617,school
age_19-39,-7.8391209823413615,1000.0,0.9937453504579203,-1967.8391209823415,1952.1608790176585,school
age_40-59,-5.6555895004724155,611.2112519602625,0.992617211908557,-1203.6296433425869,1192.318464341642,school
variant_Alpha,-0.7362884182760493,1.6134428701242982,0.6481410931039344,-3.8986364437196737,2.426059607167575,school
variant_Eta,-0.7174543893292324,1.3934826829229074,0.6066478977641139,-3.448680447858131,2.013771669199666,school
variant_Delta,-1.0992098388997529,1.2089106713605395,0.36321476703906197,-3.4686747547664103,1.2702550769669045,school
variant_Omicron,-3.37822766171531,2.2683361458087457,0.13640900972631506,-7.824166507500451,1.0677111840698315,school
intercept,-11.057044134768185,23.130844165871117,0.632634800706353,-56.39349869987557,34.279410430339205,workplace
facial_coverings,-0.8787731251360336,1.9540844695181254,0.6529188961816254,-4.708778685391559,2.9512324351194925,workplace
gathering_restr,-0.22484877752522392,1.9641847729208761,0.9088617774969616,-4.074650932450141,3.6249533773996934,workplace
school_restr,-0.7190362462048606,1.8411618390276023,0.6961417395494647,-4.327713450698961,2.88964095828924,workplace
workplace_restr,1.397834803918196,2.189895535843629,0.5232711356299062,-2.8943604463353165,5.690030054171709,workplace
travel_restr,-1.0019693501070168,1.9070396880865228,0.5993012546535625,-4.739767138756601,2.735828438542568,workplace
stay_home,5.204170427930421e-18,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,workplace
school_holiday,-0.680006782354681,0.5677987303957239,0.23106521490397924,-1.7928922939302998,0.43287872922093784,workplace
vacc_one_dose,-0.3024618717252257,0.5133611776524728,0.5557408808576767,-1.3086497799240724,0.7037260364736211,workplace
vacc_two_doses,-0.48232881676058076,0.5745298910352944,0.40117807593310173,-1.6084074031897577,0.6437497696685961,workplace
age_0-10,-6.041746651335146,639.1960928133457,0.9924584260639693,-1258.8660885654926,1246.7825952628223,workplace
age_11-18,-5.139965586978142,438.46463036339327,0.9906468960693312,-864.530641099229,854.2507099252726,workplace
age_19-39,9.20666289021888,23.108424074474776,0.6903268506681415,-36.08584829575168,54.49917407618944,workplace
age_40-59,9.537831133054086,23.10748664683501,0.6797829378412025,-35.75284269474253,54.8285049608507,workplace
variant_Alpha,0.45404597917059347,0.8163749663208689,0.5780923730367258,-1.1460489548183095,2.0541409131594963,workplace
variant_Eta,-0.07103166797115638,0.8385591749336458,0.9324944863202377,-1.7146076508411023,1.5725443148987894,workplace
variant_Delta,0.18954442835169535,0.7711262526062294,0.8058354553620963,-1.3218630267565141,1.700951883459905,workplace
variant_Omicron,0.2871623282117829,1.120850097429429,0.7977960412874648,-1.9097038627498981,2.484028519173464,workplace
intercept,-5.490718017961296,3.202547892474844,0.0864398216929892,-11.76771188721199,0.7862758512893979,family
facial_coverings,-0.03992269587015382,3.1362885435804535,0.9898437780819003,-6.187048241287843,6.107202849547535,family
gathering_restr,-0.03278512532035956,2.9350467746671174,0.9910876373197588,-5.78547680366791,5.71990655302719,family
school_restr,-0.7617421171588022,2.9121290686158017,0.7936486022997753,-6.469515091645774,4.946030857328169,family
workplace_restr,-1.787814248381572,2.937892740127659,0.542831867283069,-7.546084019031784,3.9704555222686393,family
travel_restr,-0.025566773932885273,3.162252763463212,0.9935491836111788,-6.22358219032078,6.172448642455009,family
stay_home,8.326672684688674e-17,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,family
school_holiday,0.12447115231619581,1.6523677774802126,0.9399529772505029,-3.1141696915450208,3.3631119961774125,family
vacc_one_dose,-8.489442553318062,79.8113550636135,0.9152897019816664,-164.91969847800053,147.94081337136438,family
vacc_two_doses,0.5479858968494993,2.1628549904536367,0.7999882640982123,-3.691209884439629,4.787181678138627,family
age_0-10,-7.485860374395919,76.66775517545275,0.9222179458215047,-157.75466051828332,142.7829397694915,family
age_11-18,1.1773162772266363,2.1313884274029467,0.5806944779814125,-3.000205040483139,5.354837594936412,family
age_19-39,0.3018407583742577,1.9331955667373195,0.8759260934253406,-3.4872225524308886,4.090904069179404,family
age_40-59,-0.1673213702451273,1.626737228120733,0.9180764367844846,-3.355726337361764,3.0210835968715095,family
variant_Alpha,-9.921230801336852,100.27955087767047,0.92118929779463,-206.46915052157098,186.62668891889726,family
variant_Eta,-1.053650718037152,2.3924776002505883,0.6596463404672435,-5.742906814528305,3.6356053784540014,family
variant_Delta,-10.422320624024394,112.40094966230977,0.9261224413887994,-230.72818196215155,209.88354071410276,family
variant_Omicron,-0.3643297229252408,2.514687682602966,0.8848050613012414,-5.2931175808270545,4.564458134976572,family
intercept,-1.2728595289601254,0.4155474721607915,0.0021906377273418214,-2.0873325743952766,-0.45838648352497413,community
facial_coverings,0.37035028728433145,0.7456474316864681,0.6194127221590767,-1.091118678821146,1.8318192533898088,community
gathering_restr,-1.2235235557636643,0.901319638968673,0.1746286833832923,-2.990110048142263,0.5430629366149347,community
school_restr,-0.48357604565288537,0.8656707385285157,0.5764249848058758,-2.180290693168776,1.2131386018630055,community
workplace_restr,-0.5733291059390613,0.8036167138010327,0.475575993679069,-2.1484178649890855,1.001759653110963,community
travel_restr,1.0385485443110278,0.8892940974353122,0.24287343062039302,-0.7044678866621841,2.7815649752842395,community
stay_home,4.440892098500626e-16,3.1622934716752664,0.9999999999999999,-6.198095204483522,6.198095204483522,community
school_holiday,0.17206169790697615,0.16863010477910595,0.30756258095857547,-0.1584533074600715,0.5025767032740238,community
vacc_one_dose,-0.29340184568088584,0.17435744280676838,0.09242143335280985,-0.6351424335821518,0.04833874222038015,community
vacc_two_doses,-0.29963936726655627,0.18808367120564534,0.11113385897681892,-0.6682833628296212,0.06900462829650861,community
age_0-10,-0.054231739020552075,0.23309576464812398,0.8160265036169916,-0.5110994377308751,0.40263595968977095,community
age_11-18,0.07984934844439205,0.18788775759006537,0.6708481147544757,-0.28841065643213604,0.44810935332092017,community
age_19-39,-0.05226114516636095,0.13543372739105708,0.6995856612305174,-0.3177112508528328,0.21318896052011094,community
age_40-59,-0.14843514039434444,0.1243531867907786,0.23261188879954597,-0.3921673865042705,0.09529710571558161,community
variant_Alpha,-0.2348838786233333,0.252019118707086,0.35133230117440584,-0.7288413512892218,0.25907359404255526,community
variant_Eta,0.02666707449805231,0.294878775874788,0.9279423196626629,-0.5512953262165322,0.6046294752126368,community
variant_Delta,0.2681470170032623,0.27388042356141074,0.32754735854436956,-0.26865861317710266,0.8049526471836272,community
variant_Omicron,0.3770099023964865,0.37394473600650524,0.31335997306202334,-0.3559217801762637,1.1099415849692367,community
