week,household,school,workplace,family,community,total
2021-05-31/2021-06-06,0.0,0.012987012987012988,0.012987012987012988,0.0,0.23376623376623376,0.2597402597402597
2021-06-07/2021-06-13,0.0,0.011764705882352941,0.03529411764705882,0.0,0.38823529411764707,0.43529411764705883
2021-06-14/2021-06-20,0.0,0.01834862385321101,0.0,0.0,0.3853211009174312,0.4036697247706422
2021-06-21/2021-06-27,0.009345794392523364,0.037383177570093455,0.037383177570093455,0.0,0.42990654205607476,0.514018691588785
2021-06-28/2021-07-04,0.0,0.028985507246376812,0.057971014492753624,0.028985507246376812,0.3333333333333333,0.4492753623188406
2021-07-05/2021-07-11,0.0,0.0,0.03225806451612903,0.0,0.45161290322580644,0.4838709677419355
2021-07-12/2021-07-18,0.03125,0.0,0.041666666666666664,0.0,0.3541666666666667,0.4270833333333333
2021-07-19/2021-07-25,0.024096385542168676,0.0,0.07228915662650602,0.0,0.3373493975903614,0.43373493975903615
2021-07-26/2021-08-01,0.0,0.013333333333333334,0.06666666666666667,0.0,0.38666666666666666,0.4666666666666667
2021-08-02/2021-08-08,0.018691588785046728,0.0,0.028037383177570093,0.0,0.35514018691588783,0.40186915887850466
2021-08-09/2021-08-15,0.0,0.010309278350515464,0.010309278350515464,0.0,0.44329896907216493,0.4639175257731959
2021-08-16/2021-08-22,0.019417475728155338,0.009708737864077669,0.038834951456310676,0.009708737864077669,0.3300970873786408,0.4077669902912621
2021-08-23/2021-08-29,0.0,0.0,0.08791208791208792,0.0,0.32967032967032966,0.4175824175824176
2021-08-30/2021-09-05,0.0,0.0,0.01098901098901099,0.0,0.3516483516483517,0.3626373626373626
2021-09-06/2021-09-12,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.0,0.43373493975903615,0.5180722891566265
2021-09-13/2021-09-19,0.01282051282051282,0.01282051282051282,0.05128205128205128,0.0,0.3333333333333333,0.41025641025641024
2021-09-20/2021-09-26,0.0,0.0,0.030612244897959183,0.0,0.3673469387755102,0.3979591836734694
2021-09-27/2021-10-03,0.0,0.010416666666666666,0.03125,0.0,0.4270833333333333,0.46875
2021-10-04/2021-10-10,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.009259259259259259,0.3611111111111111,0.4351851851851852
2021-10-11/2021-10-17,0.013888888888888888,0.0,0.013888888888888888,0.0,0.375,0.4027777777777778
2021-10-18/2021-10-24,0.019417475728155338,0.0,0.02912621359223301,0.0,0.4174757281553398,0.46601941747572817
2021-10-25/2021-10-31,0.0,0.012658227848101266,0.06329113924050633,0.0,0.4430379746835443,0.5189873417721519
